,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
274,IA,Osceola County Sheriff's Office,"309 6Th St  Sibley, IA 51249",712-754-2556,9.0,"7,003",Sheriff
275,IA,Osceola Police Department,"P.O. Box 111  Osceola, IA 50213",515-342-2121,9.0,"4,659",Local Police
276,IA,Oskaloosa Police Department,"214 High Ave E  Oskaloosa, IA 52577",515-672-2559,17.0,"10,938",Local Police
277,IA,Ottumwa Police Department,"330 W 2Nd St  Ottumwa, IA 52501",641-683-0631,36.0,"24,998",Local Police
278,IA,Page County Sheriff's Office,"323 N 15Th St  Clarinda, IA 51632",712-542-5193,8.0,"16,976",Sheriff
279,IA,Palo Alto County Sheriff's Office,"2001 11Th StPO Box 126 Emmetsburg, IA 50536",712-852-3535,8.0,"10,147",Sheriff
280,IA,Panora Police Department,"P.O. Box 98  Panora, IA 50216",641-755-2164,3.0,"1,175",Local Police
281,IA,Parkersburg Police Department,"P.O. Box 489608 Highway 57 Parkersburg, IA 50665",319-346-2422,2.0,"1,889",Local Police
282,IA,Pella Police Department,"614 Main  Pella, IA 50219",641-628-4921,14.0,"9,832",Local Police
284,IA,Perry Police Department,"P.O. Box 545  Perry, IA 50220",515-465-4636,13.0,"7,633",Local Police
285,IA,Pleasant Hill Police Department,"5151 Maple Dr Ste 1  Pleasant Hill, IA 50327",515-265-1444,13.0,"5,070",Local Police
286,IA,Pleasantville Police Department,"P.O. Box 566108 W Jackson St. Pleasantville, IA 50225",515-848-3112,2.0,"1,539",Local Police
287,IA,Plymouth County Sheriff's Office,"451 14Th Ave Ne  Le Mars, IA 51031",712-546-8191,10.0,"24,849",Sheriff
288,IA,Pocahontas County Sheriff's Office,"99 Court SqPO Box 87 Pocahontas, IA 50574",712-335-3308,7.0,"8,662",Sheriff
289,IA,Pocahontas Police Department,"P.O. Box 69  Pocahontas, IA 50574",712-335-3536,4.0,"1,970",Local Police
290,IA,Polk City Police Department,"P.O. Box 381  Polk City, IA 50226",515-984-6565,6.0,"2,344",Local Police
291,IA,Polk County Sheriff's Office,"1985 NE 51st Place  Des Moines, IA 50313",515-286-3814,143.0,"374,601",Sheriff
292,IA,Pomeroy Police Department,"P.O. BOX 220  Pomeroy, IA 50575",712-468-2411,1.0,710,Local Police
293,IA,Postville Police Department,"P.O. Box 242  Postville, IA 52162",319-864-3234,4.0,"2,273",Local Police
294,IA,Pottawattamie County Sheriff's Office,"1400 Big Lake Rd  Council Bluffs, IA 51501",712-890-2201,50.0,"87,704",Sheriff
295,IA,Poweshiek County Sheriff's Office,"201 S 3Rd StPO Box 297 Montezuma, IA 50171",641-623-5679,11.0,"18,815",Sheriff
297,IA,Preston Police Department,"P.O. Box 371 West Gillet Street Preston, IA 52069",319-689-6868,1.0,949,Local Police
298,IA,Princeton Police Department,"P.O. Box 307  Princeton, IA 52768",319-289-3454,1.0,946,Local Police
299,IA,Readlyn Police Department,"P.O. Box 70  Readlyn, IA 50668",319-279-3999,1.0,786,Local Police
300,IA,Red Oak Police Department,"P.O. Box 475  Red Oak, IA 51566",712-623-6500,11.0,"6,197",Local Police
301,IA,Remsen Police Department,"205 Fulton St  Remsen, IA 51050",712-786-2299,2.0,"1,762",Local Police
302,IA,Riceville Police Department,"P.O. Box 256  Riceville, IA 50466",641-985-2367,1.0,840,Local Police
303,IA,Ringgold County Sheriff's Office,"109 W Madison St  Mount Ayr, IA 50854",641-464-0624,7.0,"5,469",Sheriff
304,IA,Robins Police Department,"265 S 2Nd St  Robins, IA 52328",319-393-8683,0.0,"1,806",Local Police
305,IA,Rock Valley Police Department,"1302 Main St  Rock Valley, IA 51247",712-476-5716,4.0,"2,702",Local Police
306,IA,Rockwell City Police Department,"335 Main St  Rockwell City, IA 50579",712-297-7954,4.0,"2,264",Local Police
307,IA,Rockwell Police Department,"P.O. Box 446  Rockwell, IA 50469",641-822-4906,1.0,989,Local Police
308,IA,Rolfe Police Department,"320 Garfield St  Rolfe, IA 50581",712-848-3124,2.0,675,Local Police
310,IA,Sac City Police Department,"P.O. Box 37  Sac City, IA 50583",712-662-7772,4.0,"2,368",Local Police
311,IA,Sac County Sheriff's Office,"100 Nw State StPO Box 113 Sac City, IA 50583",712-662-7127,7.0,"11,529",Sheriff
312,IA,Sanborn Police Department,"P.O. Box 93  Sanborn, IA 51248",712-729-3842,3.0,"1,353",Local Police
313,IA,Schaller Police Department,"P.O. Box 120  Schaller, IA 51053",712-275-4222,1.0,779,Local Police
315,IA,Scott County Sheriff's Office,"400 W 4Th St  Davenport, IA 52801",319-326-8628,44.0,"158,668",Sheriff
316,IA,Scranton Police Department,"P.O. Box 428  Scranton, IA 51462",712-652-3888,1.0,604,Local Police
317,IA,Sergeant Bluff Police Department,"P.O. Box 703  Sergeant Bluff, IA 51054",712-943-9603,8.0,"3,321",Local Police
319,IA,Sheffield Police Department,"P.O. Box 252  Sheffield, IA 50475",641-892-4301,2.0,930,Local Police
320,IA,Shelby County Sheriff's Office,"612 Court St  Harlan, IA 51537",712-755-5026,8.0,"13,173",Sheriff
321,IA,Sheldon Police Department,"P.O. Box 276  Sheldon, IA 51201",712-324-2525,7.0,"4,914",Local Police
322,IA,Shell Rock Police Department,"P.O. Box 522  Shell Rock, IA 50670",319-885-4434,10.0,"1,298",Local Police
324,IA,Shenandoah Police Department,"P.O. Box 425400 W Sheridan Ave Shenandoah, IA 51601",712-246-3512,7.0,"5,546",Local Police
326,IA,Sigourney Police Department,"120 N Jefferson  Sigourney, IA 52591",641-622-2345,2.0,"2,209",Local Police
327,IA,Sioux City Police Department,"601 Douglas St  Sioux City, IA 51101",712-279-6158,126.0,"85,013",Local Police
328,IA,Sioux County Sheriff's Office,"4363 Ironwood AveSioux Co Pub Safety Ctr Orange City, IA 51041",712-737-2280,13.0,"31,589",Sheriff
329,IA,Sioux Rapids Police Department,"P.O. Box 473  Sioux Rapids, IA 50585",712-283-2516,1.0,720,Local Police
330,IA,Sloan Police Department,"P.O. Box 1  Sloan, IA 51055",712-428-3348,1.0,"1,032",Local Police
331,IA,Spencer Police Department,"405 1St Ave W  Spencer, IA 51301",712-262-2151,18.0,"11,317",Local Police
332,IA,Spirit Lake Police Department,"1607 Ithaca Ave  Spirit Lake, IA 51360",712-336-5776,10.0,"4,261",Local Police
333,IA,St Ansgar Police Department,"111 S Mitchell St  St. Ansgar, IA 50472",641-736-4767,1.0,"1,031",Local Police
335,IA,State Center Police Department,"P.O. Box 668  State Center, IA 50247",641-483-2559,1.0,"1,349",Local Police
336,IA,Storm Lake Police Department,"401 E Milwaukee Ave  Storm Lake, IA 50588",712-732-8010,18.0,"10,076",Local Police
337,IA,Story City Police Department,"508 Broad St  Story City, IA 50248",515-733-2646,5.0,"3,228",Local Police
338,IA,Story County Sheriff's Office,"1315 S B Ave  Nevada, IA 50201",515-382-6566,31.0,"79,981",Sheriff
339,IA,Strawberry Point Police Department,"P.O. Box 279  Strawberry Point, IA 52076",319-933-4445,2.0,"1,386",Local Police
341,IA,Sumner Police Department,"P.O. Box 236  Sumner, IA 50674",319-578-3241,3.0,"2,106",Local Police
342,IA,Sutherland Police Department,"P.O. Box 128  Sutherland, IA 51058",712-446-2243,1.0,707,Local Police
343,IA,Tabor Police Department,"P.O. Box 309  Tabor, IA 51653",712-629-2295,1.0,993,Local Police
344,IA,Tama County Sheriff's Office,"100 N Main StPO Box 34 Toledo, IA 52342",515-484-3760,12.0,"18,103",Sheriff
345,IA,Tama Police Department,"305 Siegel St  Tama, IA 52339",515-484-6172,5.0,"2,731",Local Police
346,IA,Taylor County Sheriff's Office,"P.O. Box 213  Bedford, IA 50833",712-523-2153,5.0,"6,958",Sheriff
347,IA,Tipton Police Department,"407 Lynn St  Tipton, IA 52772",319-886-2424,6.0,"3,155",Local Police
348,IA,Toledo Police Department,"P.O. Box 373  Toledo, IA 52342",641-484-3013,5.0,"2,539",Local Police
349,IA,Tripoli Police Department,"303 S Main St  Tripoli, IA 50676",319-882-3400,1.0,"1,310",Local Police
350,IA,Union County Sheriff's Office,"302 N Pine StCounty Courthouse Creston, IA 50801",641-782-7717,5.0,"12,309",Sheriff
354,IA,Urbandale Police Department,"3740 86Th St  Urbandale, IA 50322",515-278-3910,47.0,"39,650",Local Police
355,IA,Van Buren County Sheriff's Office,"P.O. Box 474907 Broad St Keosauqua, IA 52565",319-293-3426,5.0,"7,809",Sheriff
356,IA,Van Meter Police Department,"P.O. Box 160  Van Meter, IA 50261",515-996-2644,1.0,866,Local Police
357,IA,Vinton Police Department,"P.O. Box 529  Vinton, IA 52349",319-472-2321,8.0,"5,102",Local Police
358,IA,Walcott Police Department,"128 W Lincoln  Walcott, IA 52773",319-284-6672,3.0,"1,528",Local Police
359,IA,Wapello County Sheriff's Office,"330 W 2Nd StLaw Enforcement Center Ottumwa, IA 52501",515-684-4350,11.0,"36,051",Sheriff
360,IA,Wapello Police Department,"335 N Main  Wapello, IA 52653",319-523-4091,3.0,"2,124",Local Police
362,IA,Washington County Sheriff's Office,"221 W 2Nd St  Washington, IA 52353",319-653-2107,18.0,"20,670",Sheriff
363,IA,Washington Police Department,"215 E Washington St  Washington, IA 52353",319-653-2107,10.0,"7,047",Local Police
364,IA,Waterloo Police Department,"715 Mulberry St  Waterloo, IA 50703",319-291-4349,120.0,"68,747",Local Police
365,IA,Waukee Police Department,"P.O. Box 757  Waukee, IA 50263",515-987-1073,12.0,"5,126",Local Police
367,IA,Waverly Police Department,"111 4Th St Ne  Waverly, IA 50677",319-352-5400,16.0,"8,968",Local Police
368,IA,Wayland Police Department,"P.O. Box 155  Wayland, IA 52654",319-256-3277,1.0,945,Local Police
369,IA,Wayne County Sheriff's Office,"207 N Lafayette St  Corydon, IA 50060",641-872-1566,6.0,"6,730",Sheriff
370,IA,Webster City Police Department,"P.O. Box 217  Webster City, IA 50595",515-832-9166,13.0,"8,176",Local Police
371,IA,Webster County Sheriff's Office,"Lec Bldg, 702 1St Ave S  Fort Dodge, IA 50501",515-573-1410,18.0,"40,235",Sheriff
372,IA,West Bend Police Department,"301 S. Broadway  West Bend, IA 50597",515-887-7000,1.0,834,Local Police
373,IA,West Branch Police Department,"304 E Main St  West Branch, IA 52358",319-643-2222,3.0,"2,188",Local Police
374,IA,West Burlington Police Department,"122 Broadway St  West Burlington, IA 52655",319-754-8555,10.0,"3,161",Local Police
375,IA,West Des Moines Police Department,"250 George Mills Civic Pkwy  West Des Moines, IA 50265",515-222-3337,66.0,"46,403",Local Police
376,IA,West Liberty Police Department,"409 N Calhoun St  West Liberty, IA 52776",319-627-2223,6.0,"3,332",Local Police
377,IA,West Union Police Department,"P.O. Box 151  West Union, IA 52175",319-422-3535,4.0,"2,549",Local Police
378,IA,Whiting Police Department,"P.O. Box 38  Whiting, IA 51063",712-458-2414,1.0,707,Local Police
379,IA,Williamsburg Police Department,"P.O. Box 596  Williamsburg, IA 52361",319-668-1133,6.0,"2,622",Local Police
380,IA,Wilton Police Department,"104 W. 4th St.  Wilton, IA 52778",319-732-2311,4.0,"2,829",Local Police
381,IA,Windsor Heights Police Department,"1133 66Th St  Windsor Heights, IA 50311",515-277-4453,13.0,"4,805",Local Police
382,IA,Winfield Police Department,"117 S Locust  Winfield, IA 52659",319-257-3138,1.0,"1,131",Local Police
383,IA,Winnebago County Sheriff's Office,"216 S Clark StPO Box 66 Forest City, IA 50436",641-585-2828,6.0,"11,723",Sheriff
384,IA,Winneshiek County Sheriff's Office,"400 W. Claiborne Dr.  Decorah, IA 52101",319-382-4268,10.0,"21,310",Sheriff
385,IA,Winterset Police Department,"1012 N. 1st. St.  Winterset, IA 50273",515-462-1423,8.0,"4,768",Local Police
386,IA,Woodbine Police Department,"515 Walker St  Woodbine, IA 51579",712-647-2550,3.0,"1,564",Local Police
387,IA,Woodbury County Sheriff's Office,"407 7Th StPO Box 3715 Sioux City, IA 51101",712-279-6010,33.0,"103,877",Sheriff
389,IA,Worth County Sheriff's Office,"1000 Central Ave  Northwood, IA 50459",641-324-2481,8.0,"7,909",Sheriff
390,IA,Wright County Sheriff's Office,"719 2Nd St SwPO Box 348 Clarion, IA 50525",515-532-3722,8.0,"14,334",Sheriff
392,MN,Ada Police Department,"P.O. Box 107  Ada, MN 56510",218-784-5510,3.0,"1,657",Local Police
394,MN,Adrian Police Department,"209 Maine Ave. Suite 106P.O. BOX 190 Adrian, MN 56110",507-483-2525,2.0,"1,234",Local Police
395,MN,Aitkin County Sheriff's Office,"217 2Nd St Nw, Room 185  Aitkin, MN 56431",218-927-2138,19.0,"15,301",Sheriff
396,MN,Aitkin Police Department,"109 1St Avenue Nw  Aitkin, MN 56431",218-927-2527,6.0,"1,984",Local Police
397,MN,Akeley Police Department,"25 Broadway StreetPO BOX 67 Akeley, MN 56433",218-652-2468,1.0,412,Local Police
398,MN,Albany Police Department,"400 Railroad AvenueP.O. BOX 337 Albany, MN 56307",320-845-2200,4.0,"1,796",Local Police
399,MN,Albert Lea Police Department,"221 E. Clark Street  Albert Lea, MN 56007",507-377-5207,29.0,"18,356",Local Police
400,MN,Alden Police Department,"P.O. Box 325  Alden, MN 56009",507-874-3850,1.0,652,Local Police
402,MN,Amboy/Vernon Center Police Department,"244 East Maine St.P.O. BOX 250 Amboy, MN 56010",507-674-3018,2.0,575,Local Police
404,MN,Anoka County Sheriff's Office,"325 E Jackson St  Anoka, MN 55303",763-323-5020,133.0,"298,084",Sheriff
405,MN,Anoka Police Department,"275 Harrison Street  Anoka, MN 55303",763-576-2800,27.0,"18,076",Local Police
406,MN,Apple Valley Police Department,"7100 - 147Th Street West  Apple Valley, MN 55124",952-953-2700,51.0,"45,527",Local Police
407,MN,Appleton Police Department,"323 W. Schlieman Avenue  Appleton, MN 56208",320-289-2356,4.0,"2,871",Local Police
408,MN,Arlington Police Department,"322 W. Main Street  Arlington, MN 55307",507-964-5200,2.0,"2,048",Local Police
409,MN,Ashby Police Department,"P.O. Box 72  Ashby, MN 56309",218-747-2292,1.0,472,Local Police
410,MN,Atwater Police Department,"123 N. 4Th St.  Atwater, MN 56209",320-974-8900,1.0,"1,079",Local Police
411,MN,Audubon Police Department,"P.O. Box 263  Audubon, MN 56511",218-439-6100,1.0,445,Local Police
412,MN,Austin Police Department,"201 1St Street Ne  Austin, MN 55912",507-437-9400,31.0,"23,314",Local Police
414,MN,Babbitt Police Department,"71 South Drive  Babbitt, MN 55706",218-827-2441,4.0,"1,670",Local Police
415,MN,Bagley Police Department,"21 Getchell Ave SePO BOX 759 Bagley, MN 56621",218-694-6150,3.0,"1,235",Local Police
416,MN,Balaton Police Department,"P.O. BOX 144  Balaton, MN 56115",507-734-2068,1.0,637,Local Police
417,MN,Barnesville Police Department,"101 Front StreetP.O. BOX 550 Barnesville, MN 56514",218-354-2281,5.0,"2,173",Local Police
418,MN,Battle Lake Police Department,"106 Washington St. SouthP.O. BOX 386 Battle Lake, MN 56515",218-864-8989,1.0,686,Local Police
420,MN,Baxter Police Department,"13190 Memorywood DriveP.O. BOX 2626 Baxter, MN 56425",218-829-2433,15.0,"5,555",Local Police
421,MN,Bayport Police Department,"294 N. 3Rd Street  Bayport, MN 55003",651-439-7116,5.0,"3,162",Local Police
422,MN,Becker County Sheriff's Office,"925 Lake AvePO Box 702 Detroit Lakes, MN 56501",218-847-2661,20.0,"30,000",Sheriff
423,MN,Becker Police Department,"P.O. Box 250  Becker, MN 55308",763-261-4300,5.0,"2,673",Local Police
424,MN,Belgrade Police Department,"P.O. Box 296  Belgrade, MN 56312",320-254-8282,2.0,750,Local Police
425,MN,Belle Plaine Police Department,"420 East Main StreetP.O. BOX 129 Belle Plaine, MN 56011",952-873-4307,7.0,"3,789",Local Police
427,MN,Bemidji Police Department,"613 Minnesota Avenue Nw  Bemidji, MN 56601",218-751-9111,31.0,"11,917",Local Police
428,MN,Benson Police Department,"1410 Kansas Avenue  Benson, MN 56215",320-843-4790,7.0,"3,376",Local Police
429,MN,Benton County Sheriff's Office,"P.O. Box 159581 Hwy 23 Foley, MN 56329",320-968-7201,27.0,"34,226",Sheriff
430,MN,Bertha Police Department,"P.O. Box 65  Bertha, MN 56437",218-924-2100,1.0,470,Local Police
431,MN,Big Lake Police Department,"121 Lake Street North  Big Lake, MN 55309",763-263-2500,12.0,"6,063",Local Police
432,MN,Big Stone County Sheriff's Office,"20 2Nd St Se  Ortonville, MN 56278",320-839-3558,5.0,"5,820",Sheriff
434,MN,Bird Island Police Department,"P.O. Box N  Bird Island, MN 55310",320-365-4101,2.0,"1,195",Local Police
435,MN,Biwabik Police Department,"P.O. Box 529  Biwabik, MN 55708",218-865-4186,3.0,954,Local Police
436,MN,Blackduck Police Department,"P.O. Box 380  Blackduck, MN 56630",218-835-4802,2.0,696,Local Police
437,MN,Blaine Police Department,"10801 Town Square Drive  Blaine, MN 55449",763-785-6125,58.0,"44,942",Local Police
438,MN,Blooming Prairie Police Department,"Hwy 218 SouthP.O. BOX 68 Blooming Prairie, MN 55917",507-583-7885,3.0,"1,933",Local Police
439,MN,Bloomington Police Department,"1800 W. Old Shakopee Rd.  Bloomington, MN 55431",952-948-3900,116.0,"85,172",Local Police
440,MN,Blue Earth County Sheriff's Office,"710 S Front StPO Box 228 Mankato, MN 56001",507-387-8710,28.0,"55,941",Sheriff
441,MN,Blue Earth Police Department,"120 S Walnut StreetPO BOX 38 Blue Earth, MN 56013",507-526-5959,6.0,"3,621",Local Police
442,MN,Bovey Police Department,"P.O. Box 399  Bovey, MN 55709",218-245-2590,2.0,662,Local Police
443,MN,Braham Police Department,"201 S. BroadwayP.O. BOX 521 Braham, MN 55006",320-396-3383,3.0,"1,276",Local Police
444,MN,Brainerd Police Department,"225 East River Road  Brainerd, MN 56401",218-829-2805,26.0,"13,178",Local Police
445,MN,Breckenridge Police Department,"515 Dacotah Ave  Breckenridge, MN 56520",218-643-5506,7.0,"3,559",Local Police
446,MN,Breezy Point Police Department,"8361 Co. Rd. #11  Breezy Point, MN 56472",218-562-4488,6.0,979,Local Police
447,MN,Breitung Township Police,"39 1St Ave.P.O. BOX 86 Soudan, MN 55782",218-753-6660,3.0,662,Local Police
448,MN,Brooklyn Center Police Department,"6645 Humboldt Avenue North  Brooklyn Center, MN 55430",763-503-3201,46.0,"29,172",Local Police
449,MN,Brooklyn Park Police Department,"5400 85Th Ave. N.  Brooklyn Park, MN 55443",763-493-8222,94.0,"67,388",Local Police
450,MN,Brown County Sheriff's Office,"15 S Washington StPO Box 877 New Ulm, MN 56073",507-233-6700,10.0,"26,911",Sheriff
451,MN,Browns Valley Police Department,"3Rd StreetMUNICIPAL BUILDING Browns Valley, MN 56219",320-695-2411,3.0,690,Local Police
453,MN,Brownton Police Department,"528 2Nd St. N.  Brownton, MN 55312",320-328-5226,2.0,807,Local Police
454,MN,Buffalo Lake Police Department,"301 N Main StreetP.O. BOX 233 Buffalo Lake, MN 55314",320-833-2101,2.0,768,Local Police
455,MN,Buffalo Police Department,"215 1St Ave Ne  Buffalo, MN 55313",763-682-5976,18.0,"10,097",Local Police
456,MN,Burnsville Police Department,"100 Civic Center Parkway  Burnsville, MN 55337",952-895-4600,75.0,"60,220",Local Police
457,MN,Caledonia Police Department,"304 E. Main St.P.O. BOX 232 Caledonia, MN 55921",507-725-3889,4.0,"2,965",Local Police
459,MN,Canby Police Department,"110 Oscar Avenue N.  Canby, MN 56220",507-223-5005,3.0,"1,903",Local Police
460,MN,Cannon Falls Police Department,"918 River Road  Cannon Falls, MN 55009",507-263-2626,9.0,"3,795",Local Police
461,MN,Carlton County Sheriff's Office,"P.O. Box 530317 Walnut Ave Carlton, MN 55718",218-384-3236,20.0,"31,671",Sheriff
462,MN,Carver County Sheriff's Office,"606 E 4Th St  Chaska, MN 55318",612-361-1212,87.0,"70,205",Sheriff
463,MN,Cass County Sheriff's Office,"P.O. Box 1119300 Minnesota Ave Walker, MN 56484",218-547-1424,38.0,"27,150",Sheriff
465,MN,Champlin Police Department,"11955 Champlin Dr.  Champlin, MN 55316",612-421-2971,26.0,"22,193",Local Police
466,MN,Chaska Police Department,"2 City Hall Plaza  Chaska, MN 55318",952-448-4200,24.0,"17,449",Local Police
467,MN,Chatfield Police Department,"21 2Nd Street Se  Chatfield, MN 55923",507-867-3331,4.0,"2,394",Local Police
468,MN,Chippewa County Sheriff's Office,"629 N 11Th St  Montevideo, MN 56265",320-269-2121,8.0,"13,088",Sheriff
469,MN,Chisago County Sheriff's Office,"313 N Main St, Ste 100  Center City, MN 55012",651-213-7104,40.0,"41,101",Sheriff
470,MN,Chisholm Police Department,"301 W. Lake St.  Chisholm, MN 55719",218-254-7916,11.0,"4,960",Local Police
